Ticker,Year,Name,First,Last,gender,Conc,Company,Revenue,Employee_Tot,Industry,Sector,Count
FISV,2015,Alison Davis,Alison,Davis,F,FISV_2015_F,FISERV INC,10186880000,44000,Financial,Consumer Fin,10
FISV,2015,Christopher M Flink,Christopher,Flink,M,FISV_2015_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2015,Daniel P Kearney,Daniel,Kearney,M,FISV_2015_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2015,Dennis F Lynch,Dennis,Lynch,M,FISV_2015_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2015,Denis J OLeary,Denis,Oleary,M,FISV_2015_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2015,Glenn M Renwick,Glenn,Renwick,M,FISV_2015_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2015,Kim M Robak,Kim,Robak,M,FISV_2015_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2015,Doyle R Simons,Doyle,Simons,M,FISV_2015_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2015,Thomas C Wertheimer,Thomas,Wertheimer,M,FISV_2015_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2015,Donald F Dillon,Donald,Dillon,M,FISV_2015_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2016,Alison Davis,Alison,Davis,F,FISV_2016_F,FISERV INC,10186880000,44000,Financial,Consumer Fin,11.11111111
FISV,2016,Christopher M Flink,Christopher,Flink,M,FISV_2016_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2016,Daniel P Kearney,Daniel,Kearney,M,FISV_2016_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2016,Dennis F Lynch,Dennis,Lynch,M,FISV_2016_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2016,Denis J OLeary,Denis,Oleary,M,FISV_2016_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2016,Glenn M Renwick,Glenn,Renwick,M,FISV_2016_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2016,Kim M Robak,Kim,Robak,M,FISV_2016_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2016,Doyle R Simons,Doyle,Simons,M,FISV_2016_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2016,Thomas C  Wertheimer,Thomas,Wertheimer,M,FISV_2016_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2017,Alison Davis,Alison,Davis,F,FISV_2017_F,FISERV INC,10186880000,44000,Financial,Consumer Fin,10
FISV,2017,Christopher M Flink,Christopher,Flink,M,FISV_2017_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2017,Daniel P Kearney,Daniel,Kearney,M,FISV_2017_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2017,John Y Kim,John,Kim,M,FISV_2017_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2017,Dennis F Lynch,Dennis,Lynch,M,FISV_2017_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2017,Denis J OLeary,Denis,Oleary,M,FISV_2017_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2017,Glenn M Renwick,Glenn,Renwick,M,FISV_2017_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2017,Kim M Robak,Kim,Robak,M,FISV_2017_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2017,Doyle R Simons,Doyle,Simons,M,FISV_2017_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2017,Thomas C Wertheimer,Thomas,Wertheimer,M,FISV_2017_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,90
FISV,2018,Alison Davis,Alison,Davis,F,FISV_2018_F,FISERV INC,10186880000,44000,Financial,Consumer Fin,11.11111111
FISV,2018,Daniel P Kearney,Daniel,Kearney,M,FISV_2018_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2018,John Y Kim,John,Kim,M,FISV_2018_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2018,Dennis F Lynch,Dennis,Lynch,M,FISV_2018_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2018,Denis J OLeary,Denis,Oleary,M,FISV_2018_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2018,Glenn M Renwick,Glenn,Renwick,M,FISV_2018_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2018,Kim M Robak,Kim,Robak,M,FISV_2018_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2018,Doyle R Simons,Doyle,Simons,M,FISV_2018_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2018,Thomas C Wertheimer,Thomas,Wertheimer,M,FISV_2018_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,88.88888889
FISV,2019,Alison Davis,Alison,Davis,F,FISV_2019_F,FISERV INC,10186880000,44000,Financial,Consumer Fin,12.5
FISV,2019,Harry F DiSimone,Harry,Disimone,M,FISV_2019_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,87.5
FISV,2019,John Y Kim,John,Kim,M,FISV_2019_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,87.5
FISV,2019,Dennis F Lynch,Dennis,Lynch,M,FISV_2019_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,87.5
FISV,2019,Denis J OLeary,Denis,Oleary,M,FISV_2019_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,87.5
FISV,2019,Glenn M Renwick,Glenn,Renwick,M,FISV_2019_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,87.5
FISV,2019,Kim M Robak,Kim,Robak,M,FISV_2019_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,87.5
FISV,2019,Doyle R Simons,Doyle,Simons,M,FISV_2019_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,87.5
FISV,2020,Alison Davis,Alison,Davis,F,FISV_2020_F,FISERV INC,10186880000,44000,Financial,Consumer Fin,20
FISV,2020,Harry F DiSimone,Harry,Disimone,M,FISV_2020_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,80
FISV,2020,Dennis F Lynch,Dennis,Lynch,M,FISV_2020_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,80
FISV,2020,Heidi G Miller,Heidi,Miller,F,FISV_2020_F,FISERV INC,10186880000,44000,Financial,Consumer Fin,20
FISV,2020,Scott C Nuttall,Scott,Nuttall,M,FISV_2020_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,80
FISV,2020,Denis J OLeary,Denis,Oleary,M,FISV_2020_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,80
FISV,2020,Doyle R Simons,Doyle,Simons,M,FISV_2020_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,80
FISV,2020,John Y Kim,John,Kim,M,FISV_2020_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,80
FISV,2020,Glenn M Renwick,Glenn,Renwick,M,FISV_2020_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,80
FISV,2020,Kim M Robak,Kim,Robak,M,FISV_2020_M,FISERV INC,10186880000,44000,Financial,Consumer Fin,80
NVDA,2015,Robert K Burgess,Robert,Burgess,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,Tench Coxe,Tench,Coxe,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,James C Gaither,James,Gaither,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,Dawn Hudson,Dawn,Hudson,F,NVDA_2015_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2015,Harvey C Jones,Harvey,Jones,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,William J Miller,William,Miller,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,Mark L Perry,Mark,Perry,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,Mark A Stevens,Mark,Stevens,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,JenHsun Huang,Jenhsun,Huang,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,Colette M Kress,Colette,Kress,F,NVDA_2015_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2015,Ajay K Puri,Ajay,Puri,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,David M Shannon,David,Shannon,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2015,Debora Shoquist,Debora,Shoquist,F,NVDA_2015_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2015,Michael G McCaffery,Michael,Mccaffery,M,NVDA_2015_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,Robert K Burgess,Robert,Burgess,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,Tench Coxe,Tench,Coxe,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,James C Gaither,James,Gaither,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,Dawn Hudson,Dawn,Hudson,F,NVDA_2016_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2016,Harvey C Jones,Harvey,Jones,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,Michael G McCaffery,Michael,Mccaffery,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,William J Miller,William,Miller,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,Mark L Perry,Mark,Perry,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,Mark A Stevens,Mark,Stevens,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,JenHsun Huang,Jenhsun,Huang,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,Colette M Kress,Colette,Kress,F,NVDA_2016_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2016,Ajay K Puri,Ajay,Puri,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,David M Shannon,David,Shannon,M,NVDA_2016_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2016,Debora Shoquist,Debora,Shoquist,F,NVDA_2016_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2017,Robert K Burgess,Robert,Burgess,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,Tench Coxe,Tench,Coxe,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,James C Gaither,James,Gaither,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,Dawn Hudson,Dawn,Hudson,F,NVDA_2017_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2017,Harvey C Jones,Harvey,Jones,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,Michael G McCaffery,Michael,Mccaffery,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,William J Miller,William,Miller,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,Mark L Perry,Mark,Perry,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,Mark A Stevens,Mark,Stevens,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,JenHsun Huang,Jenhsun,Huang,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,Colette M Kress,Colette,Kress,F,NVDA_2017_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2017,Ajay K Puri,Ajay,Puri,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,David M Shannon,David,Shannon,M,NVDA_2017_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2017,Debora Shoquist,Debora,Shoquist,F,NVDA_2017_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2018,Robert K Burgess,Robert,Burgess,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,Tench Coxe,Tench,Coxe,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,James C Gaither,James,Gaither,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,Dawn Hudson,Dawn,Hudson,F,NVDA_2018_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2018,Harvey C Jones,Harvey,Jones,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,Michael G McCaffery,Michael,Mccaffery,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,William J Miller,William,Miller,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,Mark L Perry,Mark,Perry,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,Mark A Stevens,Mark,Stevens,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,JenHsun Huang,Jenhsun,Huang,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,Colette M Kress,Colette,Kress,F,NVDA_2018_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2018,Ajay K Puri,Ajay,Puri,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2018,Debora Shoquist,Debora,Shoquist,F,NVDA_2018_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2018,Timothy S Teter,Timothy,Teter,M,NVDA_2018_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2019,Robert K Burgess,Robert,Burgess,M,NVDA_2019_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2019,Tench Coxe,Tench,Coxe,M,NVDA_2019_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2019,James C Gaither,James,Gaither,M,NVDA_2019_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2019,Dawn Hudson,Dawn,Hudson,F,NVDA_2019_F,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,21.42857143
NVDA,2019,Harvey C Jones,Harvey,Jones,M,NVDA_2019_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
NVDA,2019,Michael G McCaffery,Michael,Mccaffery,M,NVDA_2019_M,NVIDIA CORP,12155473250,13775,Technology,Semiconductors,78.57142857
