Company,Ticker,Year,Name,First,Last,gender,Tag,Count
FISERV INC,FISV,2015,BlackRock Inc,Blackrock,Inc,M,PERSON,93.33333333
FISERV INC,FISV,2015,Jeffery W Yabuki,Jeffery,Yabuki,M,PERSON,93.33333333
FISERV INC,FISV,2015,Thomas J Hirsch,Thomas,Hirsch,M,PERSON,93.33333333
FISERV INC,FISV,2015,Mark A Ernst,Mark,Ernst,M,PERSON,93.33333333
FISERV INC,FISV,2015,Rahul Gupta,Rahul,Gupta,M,PERSON,93.33333333
FISERV INC,FISV,2015,Byron C Vielehr,Byron,Vielehr,M,PERSON,93.33333333
FISERV INC,FISV,2015,Alison Davis,Alison,Davis,F,PERSON,6.666666667
FISERV INC,FISV,2015,Christopher M Flink,Christopher,Flink,M,PERSON,93.33333333
FISERV INC,FISV,2015,Daniel P Kearney,Daniel,Kearney,M,PERSON,93.33333333
FISERV INC,FISV,2015,Dennis F Lynch,Dennis,Lynch,M,PERSON,93.33333333
FISERV INC,FISV,2015,Denis J OLeary,Denis,Oleary,M,PERSON,93.33333333
FISERV INC,FISV,2015,Glenn M Renwick,Glenn,Renwick,M,PERSON,93.33333333
FISERV INC,FISV,2015,Kim M Robak,Kim,Robak,M,PERSON,93.33333333
FISERV INC,FISV,2015,Doyle R Simons,Doyle,Simons,M,PERSON,93.33333333
FISERV INC,FISV,2015,Thomas C Wertheimer,Thomas,Wertheimer,M,PERSON,93.33333333
FISERV INC,FISV,2016,Jeffery W Yabuki,Jeffery,Yabuki,M,PERSON,92.85714286
FISERV INC,FISV,2016,Thomas J Hirsch,Thomas,Hirsch,M,PERSON,92.85714286
FISERV INC,FISV,2016,Mark A Ernst,Mark,Ernst,M,PERSON,92.85714286
FISERV INC,FISV,2016,Kevin P Gregoire,Kevin,Gregoire,M,PERSON,92.85714286
FISERV INC,FISV,2016,Byron C Vielehr,Byron,Vielehr,M,PERSON,92.85714286
FISERV INC,FISV,2016,Alison Davis,Alison,Davis,F,PERSON,7.142857143
FISERV INC,FISV,2016,Christopher M Flink,Christopher,Flink,M,PERSON,92.85714286
FISERV INC,FISV,2016,Daniel P Kearney,Daniel,Kearney,M,PERSON,92.85714286
FISERV INC,FISV,2016,Dennis F Lynch,Dennis,Lynch,M,PERSON,92.85714286
FISERV INC,FISV,2016,Denis J OLeary,Denis,Oleary,M,PERSON,92.85714286
FISERV INC,FISV,2016,Glenn M Renwick,Glenn,Renwick,M,PERSON,92.85714286
FISERV INC,FISV,2016,Kim M Robak,Kim,Robak,M,PERSON,92.85714286
FISERV INC,FISV,2016,Doyle R Simons,Doyle,Simons,M,PERSON,92.85714286
FISERV INC,FISV,2016,Thomas C Wertheimer,Thomas,Wertheimer,M,PERSON,92.85714286
FISERV INC,FISV,2017,Jeffery W Yabuki,Jeffery,Yabuki,M,PERSON,93.33333333
FISERV INC,FISV,2017,Robert W Hau,Robert,Hau,M,PERSON,93.33333333
FISERV INC,FISV,2017,Thomas J Hirsch,Thomas,Hirsch,M,PERSON,93.33333333
FISERV INC,FISV,2017,Mark A Ernst,Mark,Ernst,M,PERSON,93.33333333
FISERV INC,FISV,2017,Devin B McGranahan,Devin,Mcgranahan,M,PERSON,93.33333333
FISERV INC,FISV,2017,Byron C Vielehr,Byron,Vielehr,M,PERSON,93.33333333
FISERV INC,FISV,2017,Alison Davis,Alison,Davis,F,PERSON,6.666666667
FISERV INC,FISV,2017,Daniel P Kearney,Daniel,Kearney,M,PERSON,93.33333333
FISERV INC,FISV,2017,John Y Kim,John,Kim,M,PERSON,93.33333333
FISERV INC,FISV,2017,Dennis F Lynch,Dennis,Lynch,M,PERSON,93.33333333
FISERV INC,FISV,2017,Denis J OLeary,Denis,Oleary,M,PERSON,93.33333333
FISERV INC,FISV,2017,Glenn M Renwick,Glenn,Renwick,M,PERSON,93.33333333
FISERV INC,FISV,2017,Kim M Robak,Kim,Robak,M,PERSON,93.33333333
FISERV INC,FISV,2017,Doyle R Simons,Doyle,Simons,M,PERSON,93.33333333
FISERV INC,FISV,2017,Thomas C Wertheimer,Thomas,Wertheimer,M,PERSON,93.33333333
FISERV INC,FISV,2018,Jeffery W Yabuki,Jeffery,Yabuki,M,PERSON,92.30769231
FISERV INC,FISV,2018,Robert W Hau,Robert,Hau,M,PERSON,92.30769231
FISERV INC,FISV,2018,Mark A Ernst,Mark,Ernst,M,PERSON,92.30769231
FISERV INC,FISV,2018,Devin B McGranahan,Devin,Mcgranahan,M,PERSON,92.30769231
FISERV INC,FISV,2018,Byron C Vielehr,Byron,Vielehr,M,PERSON,92.30769231
FISERV INC,FISV,2018,Alison Davis,Alison,Davis,F,PERSON,7.692307692
FISERV INC,FISV,2018,Harry F DiSimone,Harry,Disimone,M,PERSON,92.30769231
FISERV INC,FISV,2018,John Y Kim,John,Kim,M,PERSON,92.30769231
FISERV INC,FISV,2018,Dennis F Lynch,Dennis,Lynch,M,PERSON,92.30769231
FISERV INC,FISV,2018,Denis J OLeary,Denis,Oleary,M,PERSON,92.30769231
FISERV INC,FISV,2018,Glenn M Renwick,Glenn,Renwick,M,PERSON,92.30769231
FISERV INC,FISV,2018,Kim M Robak,Kim,Robak,M,PERSON,92.30769231
FISERV INC,FISV,2018,Doyle R Simons,Doyle,Simons,M,PERSON,92.30769231
FISERV INC,FISV,2019,Jeffery W Yabuki,Jeffery,Yabuki,M,PERSON,92.30769231
FISERV INC,FISV,2019,Robert W Hau,Robert,Hau,M,PERSON,92.30769231
FISERV INC,FISV,2019,Lynn S McCreary,Lynn,Mccreary,M,PERSON,92.30769231
FISERV INC,FISV,2019,Devin B McGranahan,Devin,Mcgranahan,M,PERSON,92.30769231
FISERV INC,FISV,2019,Byron C Vielehr,Byron,Vielehr,M,PERSON,92.30769231
FISERV INC,FISV,2019,Alison Davis,Alison,Davis,F,PERSON,7.692307692
FISERV INC,FISV,2019,Harry F DiSimone,Harry,Disimone,M,PERSON,92.30769231
FISERV INC,FISV,2019,John Y Kim,John,Kim,M,PERSON,92.30769231
FISERV INC,FISV,2019,Dennis F Lynch,Dennis,Lynch,M,PERSON,92.30769231
FISERV INC,FISV,2019,Denis J OLeary,Denis,Oleary,M,PERSON,92.30769231
FISERV INC,FISV,2019,Glenn M Renwick,Glenn,Renwick,M,PERSON,92.30769231
FISERV INC,FISV,2019,Kim M Robak,Kim,Robak,M,PERSON,92.30769231
FISERV INC,FISV,2019,Doyle R Simons,Doyle,Simons,M,PERSON,92.30769231
FISERV INC,FISV,2020,Jeffery W Yabuki,Jeffery,Yabuki,M,PERSON,83.33333333
FISERV INC,FISV,2020,Frank J Bisignano,Frank,Bisignano,M,PERSON,83.33333333
FISERV INC,FISV,2020,Robert W Hau,Robert,Hau,M,PERSON,83.33333333
FISERV INC,FISV,2020,Devin B McGranahan,Devin,Mcgranahan,M,PERSON,83.33333333
