gender,Count,CIK,Ticker,Employee_Tot,Sector,Industry,RevPerEmp,Name,Revenue
F,66.66666667,1389002,mrin,229,Software,Technology,214130,MARIN SOFTWARE INC,49035770
F,60,70858,bac,208000,Banking,Financial,546220,BANK OF AMERICA CORP,1.14E+11
F,57.14285714,1107843,qlys,1289,Software,Technology,249500,QUALYS INC,321605500
F,55.55555556,47217,hpq,56000,Computers/Co,Electronics,1067000,HP INC,59752000000
F,45.45454545,310158,mrk,71000,Pharmaceutic,Healthcare,656140,Merck Co Inc,46585940000
F,45.45454545,723125,mu,40000,Semiconducto,Electronics,832920,MICRON TECHNOLOGY INC,33316800000
F,45.45454545,1373715,now,10371,Software,Technology,333660,ServiceNow Inc,3460387860
F,44.44444444,1764925,work,2045,Software,Technology,308273.8386,Slack Technologies Inc,630419999.9
F,44.44444444,1447669,twlo,2905,Software,Technology,390520,TWILIO INC,1134460600
F,42.85714286,1447599,fit,1684,Computers/Co,Electronics,852010,FITBIT INC,1434784840
F,42.85714286,1156039,antm,70600,Life Insuran,Financial,1476000,Anthem Inc,1.04E+11
F,41.66666667,1467858,gm,164000,Automobiles,Automotive,836810,General Motors Co,1.37E+11
F,40,1353283,splk,5800,Software,Technology,563440,SPLUNK INC,3267952000
F,40,831001,c,200000,Banking,Financial,517640,CITIGROUP INC,1.04E+11
F,40,18926,lumn,42500,Wired Teleco,Telecommunications,527080,CENTURYLINK INC,22400900000
F,40,1071739,cnc,56600,Healthcare P,Healthcare,1319000,CENTENE CORP,74655400000
F,40,1463172,zen,3570,Software,Technology,228060,Zendesk Inc,814174200
F,38.46153846,789019,msft,163000,Software,Technology,877390,Microsoft,1.43E+11
F,37.5,927653,mck,80000,Drug Retail,Healthcare,2888000,MCKESSON CORP,2.31E+11
F,37.5,1326801,fb,44942,Internet/Onl,Technology,1573000,Facebook Inc,70693766000
F,37.5,1713683,zs,2020,Internet/Onl,Technology,231370,Zscaler Inc,467367400
F,35.29411765,40704,gis,35000,Food & Beverage,Consumer Goods,414840,GENERAL MILLS INC,14519400000
F,33.33333333,1212458,pfpt,3368,Software,Technology,263710,PROOFPOINT INC,888175280
F,33.33333333,1137789,stx,42000,Computers/Co,Technology,250210,Seagate Technology plc,10508820000
F,33.33333333,1437352,evbg,948,Software,Technology,211900,EVERBRIDGE INC,200881200
F,33.33333333,1045810,nvda,13775,Semiconductors,Technology,882430,NVIDIA CORP,12155473250
F,33.33333333,1660134,okta,2248,Internet/Online,Technology,260710,Okta Inc,586076080
F,33.33333333,732712,vz,135000,Wireless Tel,Telecommunications,976800,VERIZON COMMUNICATIONS INC,1.32E+11
